epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1212.78,0.82663,0.46404,0.97521,0.97205,0.95575,0.96737,0.74009,0.87233,0.46928,0.97034,0.0011684,0.0011684,0.0011684
44,1239.56,0.84353,0.46731,0.97549,0.95086,0.9646,0.97129,0.72905,0.88592,0.47073,0.98175,0.0011486,0.0011486,0.0011486
45,1265.89,0.81772,0.4595,0.97345,0.97301,0.95715,0.97498,0.75415,0.85033,0.4354,0.96179,0.0011288,0.0011288,0.0011288
46,1294.08,0.80573,0.45125,0.95602,0.96437,0.95811,0.97792,0.75258,0.86397,0.45901,0.97608,0.001109,0.001109,0.001109
47,1320.23,0.80983,0.45296,0.96089,0.97209,0.95575,0.97346,0.74626,0.88887,0.45169,0.9882,0.0010892,0.0010892,0.0010892
48,1347.21,0.81181,0.44799,0.96167,0.97311,0.96071,0.97472,0.74871,0.86632,0.45582,0.98117,0.0010694,0.0010694,0.0010694
49,1373.87,0.79558,0.44999,0.96202,0.96115,0.95575,0.97265,0.74848,0.87202,0.44157,0.97587,0.0010496,0.0010496,0.0010496
50,1400.76,0.79379,0.43032,0.95757,0.97461,0.9528,0.97668,0.74205,0.86277,0.45918,0.9832,0.0010298,0.0010298,0.0010298
51,1427.28,0.79567,0.44396,0.95773,0.96037,0.9705,0.97886,0.7533,0.86914,0.43769,0.98252,0.00101,0.00101,0.00101
52,1453.51,0.80354,0.4483,0.96343,0.96742,0.96345,0.9778,0.74481,0.88696,0.45266,0.98098,0.0009902,0.0009902,0.0009902
53,1480.3,0.78778,0.44476,0.95923,0.97296,0.95519,0.97758,0.73852,0.86773,0.42927,0.97449,0.0009704,0.0009704,0.0009704
54,1507.45,0.799,0.44811,0.96278,0.98037,0.9469,0.97221,0.74955,0.87829,0.44082,0.9758,0.0009506,0.0009506,0.0009506
55,1534.35,0.78838,0.4382,0.9603,0.97984,0.94395,0.97853,0.75206,0.86862,0.43694,0.96945,0.0009308,0.0009308,0.0009308
56,1561.85,0.78541,0.44492,0.95022,0.97295,0.95575,0.97527,0.7241,0.9137,0.4479,0.99298,0.000911,0.000911,0.000911
57,1589.13,0.78781,0.4256,0.954,0.9645,0.96165,0.97859,0.74553,0.86787,0.45824,0.97358,0.0008912,0.0008912,0.0008912
58,1615.78,0.77104,0.42054,0.95198,0.98209,0.9469,0.97933,0.75494,0.86784,0.43282,0.96457,0.0008714,0.0008714,0.0008714
59,1643.99,0.75627,0.41022,0.94773,0.97296,0.95517,0.97759,0.74487,0.87248,0.42901,0.97078,0.0008516,0.0008516,0.0008516
60,1670.37,0.77176,0.42791,0.95546,0.96744,0.96405,0.98103,0.75824,0.85595,0.42601,0.97271,0.0008318,0.0008318,0.0008318
61,1698.55,0.77325,0.41706,0.95074,0.9847,0.94951,0.9768,0.75599,0.85585,0.42664,0.9716,0.000812,0.000812,0.000812
62,1725.7,0.75137,0.41703,0.9443,0.97234,0.95575,0.98088,0.75778,0.84707,0.42348,0.96165,0.0007922,0.0007922,0.0007922
63,1752.82,0.76031,0.41653,0.95047,0.96181,0.96578,0.97716,0.74835,0.87111,0.44122,0.97351,0.0007724,0.0007724,0.0007724
64,1779.57,0.75936,0.41335,0.94557,0.97551,0.96165,0.98089,0.75113,0.86533,0.42831,0.97995,0.0007526,0.0007526,0.0007526
65,1805.97,0.75223,0.41198,0.94694,0.97639,0.9587,0.97907,0.75691,0.84244,0.40574,0.96198,0.0007328,0.0007328,0.0007328
66,1832.75,0.75121,0.41004,0.94525,0.96866,0.9646,0.98007,0.75701,0.84264,0.41565,0.95675,0.000713,0.000713,0.000713
67,1859.71,0.73583,0.4017,0.93303,0.97601,0.96022,0.97928,0.75749,0.86774,0.42142,0.96978,0.0006932,0.0006932,0.0006932
68,1886.49,0.71826,0.39265,0.92883,0.95974,0.96755,0.98313,0.75162,0.85825,0.40823,0.96576,0.0006734,0.0006734,0.0006734
69,1913.78,0.73064,0.40429,0.93896,0.96187,0.96745,0.9759,0.74867,0.8553,0.42328,0.95889,0.0006536,0.0006536,0.0006536
70,1940.81,0.72793,0.39133,0.93507,0.97238,0.9646,0.98078,0.76259,0.84463,0.41186,0.97026,0.0006338,0.0006338,0.0006338
71,1968.5,0.72345,0.39082,0.93587,0.97031,0.96404,0.97737,0.75926,0.84448,0.41873,0.95768,0.000614,0.000614,0.000614
72,1994.58,0.71161,0.39253,0.93124,0.97612,0.96448,0.97925,0.75484,0.86484,0.41693,0.96555,0.0005942,0.0005942,0.0005942
73,2021.35,0.71645,0.37568,0.93048,0.96697,0.96165,0.97305,0.7492,0.85005,0.40577,0.96719,0.0005744,0.0005744,0.0005744
74,2048.14,0.69218,0.37064,0.91883,0.97446,0.9587,0.97989,0.757,0.85302,0.38767,0.96109,0.0005546,0.0005546,0.0005546
75,2074.88,0.69618,0.37541,0.92642,0.97496,0.9587,0.9813,0.76245,0.84424,0.39661,0.95774,0.0005348,0.0005348,0.0005348
76,2101.3,0.7015,0.37265,0.92356,0.97536,0.9587,0.98049,0.76116,0.83798,0.3924,0.96179,0.000515,0.000515,0.000515
77,2127.47,0.68266,0.36825,0.92123,0.97803,0.96165,0.98114,0.76534,0.84199,0.40601,0.96057,0.0004952,0.0004952,0.0004952
78,2155.43,0.68668,0.37265,0.92326,0.97895,0.96009,0.98123,0.76081,0.84757,0.40444,0.95746,0.0004754,0.0004754,0.0004754
79,2182.17,0.67894,0.36668,0.91687,0.97675,0.96165,0.98124,0.75809,0.84809,0.40208,0.96021,0.0004556,0.0004556,0.0004556
80,2208.98,0.69333,0.36778,0.9266,0.97037,0.9661,0.98737,0.7686,0.83691,0.39863,0.95756,0.0004358,0.0004358,0.0004358
81,2237.1,0.67754,0.36107,0.91669,0.97605,0.96186,0.97924,0.74893,0.87662,0.402,0.9834,0.000416,0.000416,0.000416
82,2263.4,0.68246,0.35201,0.91479,0.9792,0.97188,0.98032,0.75746,0.84302,0.39848,0.9573,0.0003962,0.0003962,0.0003962
83,2289.57,0.66707,0.35909,0.91845,0.97903,0.96409,0.98091,0.76639,0.8342,0.38938,0.9573,0.0003764,0.0003764,0.0003764
84,2316.59,0.68097,0.36153,0.91633,0.97044,0.9764,0.9817,0.76485,0.83,0.38721,0.95848,0.0003566,0.0003566,0.0003566
85,2343.64,0.66546,0.35209,0.91434,0.97837,0.96755,0.98128,0.76701,0.82906,0.39211,0.96107,0.0003368,0.0003368,0.0003368
86,2370.61,0.65858,0.35396,0.9097,0.97909,0.96698,0.98066,0.7596,0.84774,0.39508,0.96174,0.000317,0.000317,0.000317
87,2397.52,0.65101,0.34663,0.91604,0.97046,0.96906,0.98627,0.76533,0.82678,0.38779,0.95164,0.0002972,0.0002972,0.0002972
88,2424.16,0.65079,0.34464,0.90515,0.97593,0.9646,0.97955,0.7638,0.83493,0.39346,0.95506,0.0002774,0.0002774,0.0002774
89,2450.95,0.65493,0.34533,0.91306,0.97262,0.9705,0.98145,0.76394,0.84609,0.39071,0.95698,0.0002576,0.0002576,0.0002576
90,2478.2,0.6376,0.33858,0.90712,0.97611,0.96431,0.98114,0.76331,0.83787,0.38511,0.95694,0.0002378,0.0002378,0.0002378
91,2506.49,0.63126,0.31946,0.88702,0.97519,0.96165,0.97841,0.76015,0.85059,0.39864,0.96632,0.000218,0.000218,0.000218
92,2532.84,0.60752,0.29678,0.8822,0.97599,0.95934,0.9786,0.76501,0.83295,0.39026,0.96152,0.0001982,0.0001982,0.0001982
93,2559.23,0.60567,0.3032,0.87748,0.97907,0.9705,0.97909,0.7675,0.82671,0.39625,0.95641,0.0001784,0.0001784,0.0001784
94,2585.15,0.59946,0.29853,0.88128,0.97247,0.9705,0.98115,0.76569,0.82945,0.38582,0.95662,0.0001586,0.0001586,0.0001586
95,2611.23,0.59248,0.28501,0.87104,0.9769,0.96755,0.98137,0.76766,0.82355,0.3778,0.94819,0.0001388,0.0001388,0.0001388
96,2637.13,0.58207,0.28435,0.87275,0.97872,0.9646,0.9798,0.76603,0.82786,0.38134,0.95235,0.000119,0.000119,0.000119
97,2663.27,0.57827,0.28053,0.87446,0.97867,0.9646,0.97946,0.76866,0.82901,0.37864,0.95803,9.92e-05,9.92e-05,9.92e-05
98,2690.1,0.56952,0.27831,0.86412,0.97902,0.9636,0.98009,0.76734,0.83078,0.37807,0.95791,7.94e-05,7.94e-05,7.94e-05
99,2715.64,0.57058,0.28397,0.86066,0.97603,0.9646,0.98007,0.76525,0.83994,0.38189,0.96414,5.96e-05,5.96e-05,5.96e-05
100,2741.77,0.56266,0.27765,0.86635,0.97617,0.9667,0.97307,0.76457,0.83607,0.37759,0.96131,3.98e-05,3.98e-05,3.98e-05
