iter	RMSE
0	0.1365693993
1	0.1329975615
2	0.1295504833
3	0.1262205998
4	0.1230085155
5	0.1198764052
6	0.1169060763
7	0.1139845374
8	0.1111670945
9	0.1084412223
10	0.1057969186
11	0.1032418646
12	0.1008047863
13	0.09842399397
14	0.09616191295
15	0.09397106893
16	0.09180663471
17	0.0897127903
18	0.08773542756
19	0.08577812473
20	0.08393809637
21	0.08214406795
22	0.08040767622
23	0.07875057889
24	0.07715493941
25	0.07558028275
26	0.07404240924
27	0.07256807302
28	0.07115934571
29	0.06980239164
30	0.0684955344
31	0.06724600466
32	0.06607123015
33	0.06488729092
34	0.06375623267
35	0.06267623975
36	0.06164123012
37	0.06062614119
38	0.05967977493
39	0.05873167788
40	0.05782511426
41	0.05696568623
42	0.05611974983
43	0.05533204506
44	0.05456280121
45	0.05379857754
46	0.05309721883
47	0.05238848591
48	0.05174235973
49	0.05111330598
50	0.05049499548
51	0.04992794609
52	0.04937680016
53	0.04882231355
54	0.0483256754
55	0.04781369633
56	0.04733223504
57	0.04688582999
58	0.04645662133
59	0.04605090372
60	0.04560865191
61	0.04517745473
62	0.04480725767
63	0.04444799758
64	0.04406750521
65	0.04373940889
66	0.04344881754
67	0.04311189694
68	0.04279892883
69	0.04252420471
70	0.04225082625
71	0.04199148916
72	0.04173238016
73	0.04147165696
74	0.0412272269
75	0.04100408761
76	0.04077543987
77	0.04056168435
78	0.04035372536
79	0.04013198313
80	0.03995603097
81	0.03977289488
82	0.03960574398
83	0.03943066842
84	0.03927480579
85	0.03912147646
86	0.03897048396
87	0.03881775211
88	0.03868485453
89	0.03854911616
90	0.03842013842
91	0.03827843391
92	0.03814242683
93	0.03799590833
94	0.03788491702
95	0.03778358974
96	0.03766966532
97	0.03756235542
98	0.03747447697
99	0.03736347202
100	0.03726357746
101	0.0371656357
102	0.0370794952
103	0.03699036425
104	0.03689196524
105	0.03680524287
106	0.03673512263
107	0.03665746622
108	0.0365719744
109	0.03648765281
110	0.036402005
111	0.03631870663
112	0.03624081637
113	0.03618124929
114	0.03612163546
115	0.03606966721
116	0.03600864316
117	0.03595486701
118	0.03587114738
119	0.03582329166
120	0.03575872984
121	0.03570233993
122	0.03562098558
123	0.03557075374
124	0.03550314619
125	0.03546019332
126	0.0354022778
127	0.03534807254
128	0.03528268926
129	0.03523945156
130	0.03517141249
131	0.03512940065
132	0.03509266295
133	0.03503295477
134	0.03498501676
135	0.03493136757
136	0.03487686717
137	0.03484772512
138	0.03479629417
139	0.03476694062
140	0.03473573228
141	0.03470009643
142	0.03466105143
143	0.03460824629
144	0.03456593576
145	0.03452919475
146	0.03450762465
147	0.0344582974
148	0.03442016172
149	0.03436198237
150	0.03433010055
151	0.03429490331
152	0.03427285691
153	0.03423555894
154	0.03420785894
155	0.03416160987
156	0.03410876203
157	0.03407262557
158	0.03404305471
159	0.03399379559
160	0.03395107342
161	0.03390107098
162	0.03386481994
163	0.03383550702
164	0.03379567176
165	0.03377784914
166	0.03373412172
167	0.03370775647
168	0.03368268712
169	0.03365227424
170	0.03362469387
171	0.03358116476
172	0.03354770286
173	0.03350994131
174	0.03346789707
175	0.03343299948
176	0.03340765021
177	0.03336326065
178	0.03334658696
179	0.03332395554
180	0.03329252591
181	0.03326859475
182	0.03323576163
183	0.03320475565
184	0.03316576734
185	0.03313162425
186	0.03310340061
187	0.03308685622
188	0.03304137409
189	0.03300385129
190	0.03295373945
191	0.03292980842
192	0.03289239571
193	0.03287018515
194	0.03284985257
195	0.03282788153
196	0.03281218724
197	0.03278215059
198	0.03275795002
199	0.03274634421
200	0.03272176163
201	0.03270742921
202	0.03267904475
203	0.03265449219
204	0.03263008904
205	0.03261357946
206	0.03258508514
207	0.0325660124
208	0.03255710703
209	0.03252624448
210	0.03250246018
211	0.03247077212
212	0.03243323319
213	0.03241083519
214	0.03238834852
215	0.03237977823
216	0.03236252453
217	0.0323428464
218	0.03232602703
219	0.03230717221
220	0.03228726169
221	0.03226816178
222	0.03224211755
223	0.0322242604
224	0.03220747509
225	0.03217230027
226	0.03214792076
227	0.03211485633
228	0.03208965973
229	0.03207462409
230	0.03205578833
231	0.03203738958
232	0.03200970271
233	0.03198081325
234	0.03195877575
235	0.03193840579
236	0.03190720675
237	0.0318753732
238	0.03185656718
239	0.0318385131
240	0.03181496792
241	0.03179677258
242	0.03176520451
243	0.03175146455
244	0.03172859355
245	0.03171345233
246	0.03170288962
247	0.03168763547
248	0.03167399209
249	0.0316616511
250	0.03165911119
251	0.03164477774
252	0.03164127689
253	0.03163239355
254	0.03162226667
255	0.03161975287
256	0.03160629875
257	0.03159301268
258	0.03156700071
